school_ID,state,dist,abbr_state,state_code,LEAID,year,children,grad_rate_midpt,pct_pov,pct_SP,pct_HHVJ,pct_CC,pct_NCI,pct_CD,pct_CLI,pct_hisp_latino,pct_white,pct_black,pct_native,pct_asian,pct_PI,student_total
09690,Washington,West Valley School District,WA,53,5309690,2014-2018,3028,94.50533386013433,0.10575427860021593,0.24857468903064728,0.2798248529434204,0.0181110966950655,0.05885156244039535,0.0386393666267395,0,8.3,81.1,0.6,0.4,1,0.2,2531
09720,Washington,West Valley School District,WA,53,5309720,2014-2018,5225,77.34485006518904,0.11307483911514282,0.25625768303871155,0.2646831274032593,0.01988106779754162,0.08539603650569916,0.06660287082195282,0.03253588452935219,40.9,52.8,0.9,1,1,0,4602
09750,Washington,White Pass School District,WA,53,NA,NA,187,NA,0.15473441779613495,0.33125001192092896,0.27290835976600647,0.01257070992141962,0.10958904027938844,0.02673796750605106,0,NA,NA,NA,NA,NA,NA,NA
09780,Washington,White River School District,WA,53,5309780,2014-2018,4220,90.71280371280372,0.04544446989893913,0.28599441051483154,0.25796762108802795,0.01585798896849155,0.04023689404129982,0.02322274819016456,0.00900473911315202,19.7,76.4,0.1,0.5,0,0,3663
09810,Washington,White Salmon Valley School District,WA,53,5309810,2014-2018,1401,85.05822416302766,0.11823802441358566,0.15602189302444458,0.1645844578742981,0.0739051103591919,0.09090909361839294,0.00999286212027072,0.03354746475815773,34.7,64.9,0,0,0,0,1374
09840,Washington,Wilbur School District,WA,53,NA,NA,253,NA,0.12682926654815674,0.16521738469600675,0.18899083137512207,0.01261261291801929,0,0.1462450623512268,0,NA,NA,NA,NA,NA,NA,NA
09870,Washington,Willapa Valley School District,WA,53,5309870,2014-2018,368,84.66403162055336,0.21944443881511688,0.0997067466378212,0.105596624314785,0,0.1596452295780182,0.06521739065647125,0,9.6,89,0,0,0,0,253
09900,Washington,Wilson Creek School District,WA,53,NA,NA,49,NA,0.1666666716337204,0.5416666865348816,0.27218934893608093,0,0.2264150977134705,0,0,NA,NA,NA,NA,NA,NA,NA
09930,Washington,Winlock School District,WA,53,5309930,2014-2018,969,80.70906801007557,0.19284802675247192,0.40281689167022705,0.3199029266834259,0.07903587073087692,0.1939849555492401,0.23116615414619449,0.03095975145697593,20.6,67.8,0,1,3,1.5,794
09990,Washington,Wishkah Valley School District,WA,53,5309990,2014-2018,189,75,0.1550387591123581,0.1835443079471588,0.22084367275238037,0.02670623175799846,0,0.10052909702062608,0,7.9,89.5,2.1,0,0,0,75
10020,Washington,Wishram School District,WA,53,NA,NA,68,NA,0.1538461595773697,0.4385964870452881,0.3684210479259491,0.07389162480831146,0.3388429880142212,0.20588235557079315,0,NA,NA,NA,NA,NA,NA,NA
10050,Washington,Woodland School District,WA,53,5310050,2014-2018,2088,75.63958413554101,0.14032121002674103,0.391404002904892,0.23840272426605225,0.04324324429035187,0.10438056290149687,0.04885057359933853,0.00862068962305784,18.9,78.3,0,0,1.4,0,2597
10110,Washington,Yakima School District,WA,53,5310110,2014-2018,15488,71.92069947132981,0.2589118182659149,0.5361025333404541,0.30330607295036316,0.09278612583875656,0.2087497711181641,0.08322571963071823,0.13688015937805176,76.9,19.5,0.2,0.5,0.1,0,17213
10140,Washington,Yelm Community Schools,WA,53,5310140,2014-2018,5677,74.70687752850313,0.10613516718149184,0.33433854579925537,0.26847100257873535,0.02329875156283378,0.03111387602984905,0.07257354259490967,0,16.7,63.7,0.5,2.7,2.8,3.9,5438
10170,Washington,Zillah School District,WA,53,5310170,2014-2018,1462,89.47510373443983,0.15296989679336548,0.21439628303050995,0.2569786608219147,0.04443225637078285,0.03948772698640823,0.04377565160393715,0.02257181890308857,41.8,54.3,0,2.7,1.6,0,1446
00030,West Virginia,Barbour County School District,WV,54,5400030,2014-2018,2495,90.95374149659864,0.2418891191482544,0.3067227005958557,0.2556923031806946,0.0104426434263587,0.15163204073905945,0.06212424859404564,0,0.4,95.3,3.1,0,0,0,2205
00060,West Virginia,Berkeley County School District,WV,54,5400060,2014-2018,19876,91.70045829514207,0.13885286450386047,0.3730817437171936,0.2923433482646942,0.02430788427591324,0.08239533752202988,0.07763131707906723,0.00155966996680945,6.6,77.6,6,0,1.6,0,16365
00090,West Virginia,Boone County School District,WV,54,5400090,2014-2018,3753,86.22812643151626,0.24025791883468628,0.33469387888908386,0.2347930073738098,0.01486663706600666,0.11706629395484924,0.10844657570123672,0,0.1,95.7,1.5,0,0.4,0,4366
00120,West Virginia,Braxton County School District,WV,54,5400120,2014-2018,2122,88.31421568627451,0.2663390636444092,0.29197993874549866,0.3319748044013977,0.0173010379076004,0.262937068939209,0.08152686059474945,0,2.5,93.8,0.2,0,0,0,2040
00150,West Virginia,Brooke County School District,WV,54,5400150,2014-2018,3081,92.7055037013196,0.18314149975776672,0.34368932247161865,0.27500244975090027,0.02179371379315853,0.136862650513649,0.07172995805740356,0,0.7,93.8,1,0.1,0.3,0,3107
00180,West Virginia,Cabell County School District,WV,54,5400180,2014-2018,13430,81.82546427447276,0.21944838762283325,0.383803129196167,0.3248423933982849,0.00817603711038827,0.17755568027496338,0.06440804153680801,0,2.7,85.7,6.7,0,0.5,0,12708
00210,West Virginia,Calhoun County School District,WV,54,5400210,2014-2018,1120,92.40988106129917,0.2634671926498413,0.1870824098587036,0.16386745870113373,0.00244413409382104,0.12652233242988586,0.09107142686843872,0.00267857150174677,10.6,88.9,0,0,0,0,1093
00240,West Virginia,Clay County School District,WV,54,5400240,2014-2018,1486,89.2618200305033,0.30083566904067993,0.4478673040866852,0.20461538434028623,0.01563937403261661,0.05686965212225914,0.0847913846373558,0,0,99.1,0,0.6,0,0,1967
00270,West Virginia,Doddridge County School District,WV,54,5400270,2014-2018,1032,94.04954582989265,0.2134944647550583,0.17007672786712646,0.2621557414531708,0.01435587462037801,0.17820324003696442,0.02325581386685371,0,2.3,95.9,0.9,0,0,0,1211
00300,West Virginia,Fayette County School District,WV,54,5400300,2014-2018,6584,83.65542913330525,0.25902432203292847,0.3706880509853363,0.30017024278640747,0.01595953851938247,0.11564625799655914,0.10373633354902267,0,2,91.3,6.3,0.1,0,0,7119
00330,West Virginia,Gilmer County School District,WV,54,5400330,2014-2018,845,90.707343412527,0.23508772253990173,0.2666666805744171,0.23580293357372284,0.0014981273561716,0.15806715190410614,0.02721893414855003,0,1.6,95.1,0,0,0,0,926
