leaid,grad_rate_midpt
0100005,90.62127426852612
0100006,88.8638041577618
0100007,92.01012965964344
0100008,95.81858682138417
0100011,90.77310924369748
0100012,86.42917771883289
0100013,95.79286289240676
0100030,87.07295988934993
0100060,94.38267148014441
0100090,78.61667703795892
0100100,93.22529465095195
0100120,88.4522396114409
0100180,83.74577702702702
0100185,92.04951185495118
0100188,80.21448087431695
0100189,93.06746031746032
0100190,95.80277617119722
0100194,92.88941091434766
0100197,64.2641975308642
0100210,91.4600643651258
0100240,86.07522505857689
0100270,84.0670956198603
0100300,80.15403128760529
0100330,74.19632925472746
0100360,85.08165195460276
0100390,77.67550270073987
0100420,91.4989168697536
0100450,91.35841170323928
0100480,84.09641693811074
0100510,81.74904822335026
0100540,90.75716933813106
0100600,81.72538860103627
0100630,90.31574844074844
0100660,84.72735153879498
0100690,82.15284128020902
0100720,88.41445623342175
0100750,87.97266632284683
0100780,94.26993865030676
0100810,94.49626865671641
0100840,86.44613583138174
0100870,82.59251700680272
0100900,79.85082304526749
0100930,92.25009154155987
0100960,89.75204228736185
0100990,91.59291666666667
0101020,89.25814732142857
0101050,92.96099161502005
0101080,84.99537892791128
0101110,89.90307076101467
0101140,89.28299555116163
0101170,86.5123552123552
0101200,90.85805500982318
0101230,86.98311262301057
0101260,92.08294930875576
0101290,86.84854051847317
0101320,92.26496279521191
0101350,84.1773692387364
0101380,91.62132839375496
0101410,82.02556276230447
0101440,86.01662468513854
0101470,89.58563036601898
0101530,92.6229843869977
0101560,95.93335843373494
0101590,88.51390922401171
0101620,82.00348364621638
0101640,91.85429141716567
0101660,90.04214711729622
0101680,82.16488046166529
0101690,92.06686390532545
0101710,89.11754684838161
0101720,88.443857331572
0101730,93.62755692782709
0101740,92.6696619597775
0101760,92.25460020073604
0101770,92.29368029739777
0101800,86.60659832440027
0101830,88.75339233038348
0101860,88.19641465315667
0101890,88.58816067653277
0101920,89.61456291920837
0101950,88.19578017664378
0101980,81.66586248492159
0102010,91.53886554621849
0102040,88.80504908835904
0102070,85.54330624465355
0102100,89.9294443163477
0102130,88.46631205673759
0102160,86.95065398335315
0102190,85.24148211243612
0102220,92.16915056383522
0102250,91.63698049194232
0102310,86.20181700194678
0102350,85.87973640856671
0102370,82.5571945924423
0102400,86.62442333785617
0102430,79.13229122550341
0102480,90.27601156069365
0102490,97.05832389580974
0102520,93.89700295483325
0102550,91.49793899422919
0102580,87.83168065090263
0102610,90.96315789473684
0102635,93.69258539294641
0102640,89.99030837004406
0102650,88.51684698608965
0102670,94.08798424162836
0102700,90.23046581517656
0102730,92.95299145299145
0102760,94.64015904572564
0102790,86.46171911695632
0102820,87.96938775510205
0102850,95.14957264957265
0102880,79.23870364599563
0102910,93.48816872427983
0102940,87.09146608315098
0102970,85.42898927526812
0103000,85.63827433628319
0103030,92.6189384800965
0103062,87.13941053729786
0103090,82.30781938325991
0103120,91.0770314701738
0103150,90.38928376161837
0103180,92.44711471286851
0103210,89.46552282292004
0103240,86.45260115606936
0103270,80.73620862587762
0103300,92.07334273624824
0103330,90.48309932397295
0103360,87.46472258628222
0103390,83.70458762556785
0103420,85.51017543859649
0103430,93.81267056530214
0103450,89.78395144976399
0103480,88.33228070175439
0103510,86.38989566172432
0103540,92.97823936696341
0103580,85.77624521072796
0200001,51.19400428265524
0200003,62.03066721922918
0200004,50.780952380952385
0200005,71.48275862068967
0200006,95.85035629453682
0200007,78.99497487437186
0200020,80.70900055218111
0200030,77.05128205128206
0200050,49.1858407079646
0200060,82.6574074074074
0200070,71.3509234828496
0200090,66.94202898550725
0200100,77.83171521035598
0200120,68.39961759082219
0200130,76.53431273898168
0200150,77.329097283085
0200180,77.97753050352294
0200210,78.85317460317461
0200240,70.85583333333332
0200270,81.12931034482759
0200300,75
0200330,75
