leaid,student_total,grad_rate_midpt
0400770,739,90.63870094722598
0400771,93,75
0400772,9,24
0400775,63,80.23809523809524
0400776,243,84.87654320987653
0400778,206,64.95145631067962
0400783,584,89.71404109589041
0400785,162,79.01851851851852
0400788,91,91.8131868131868
0400790,3539,79.04181972308561
0400794,27,15.703703703703702
0400796,33,82.27272727272728
0400800,782,93.3081841432225
0400801,86,77.7906976744186
0400803,424,88.17924528301887
0400805,141,84.68085106382978
0400807,187,60.49197860962567
0400811,862,20.121809744779583
0400813,149,61.22147651006712
0400814,269,43.899628252788105
0400816,4655,25.88807733619764
0400818,456,92.34868421052632
0400819,329,92.17325227963525
0400820,463,79.66090712742981
0400821,1053,46.591642924976256
0400823,946,69.59725158562367
0400827,156,19.743589743589745
0400828,1214,94.82701812191104
0400829,357,89.6218487394958
0400830,622,94.47909967845658
0400831,297,91.95286195286195
0400838,483,90.07246376811594
0400839,2337,36.31792896876337
0400843,361,90.7229916897507
0400851,241,91.74273858921163
0400858,1213,93.63066776586975
0400859,437,76.77345537757438
0400861,84,90
0400862,326,85.42944785276073
0400872,274,63.02189781021898
0400878,690,92.67101449275363
0400880,1320,11.571969696969697
0400889,6,75
0400897,136,84.92647058823529
0400898,131,82
0400903,92,82.33695652173913
0400904,702,91.35612535612535
0400909,443,94.00225733634312
0400910,316,68.59177215189874
0400911,219,88.46575342465754
0400917,34,24
0400920,56,11.5
0400924,291,94.45017182130584
0400926,300,89.40333333333334
0400931,6,24
0400946,332,83.90963855421687
0400947,108,86.94444444444444
0400950,284,12.080985915492956
0400957,103,14.097087378640778
0400965,58,72.93103448275863
0400969,18,75
0400976,28,24
0401000,274,82.3029197080292
0401080,177,82.71186440677967
0401160,373,88.1367292225201
0401180,1037,84.28833172613308
0401330,21,75
0401410,12108,90.4007267922035
0401460,5860,87.91638225255973
0401600,1372,87.1807580174927
0401650,82,75
0401740,10774,77.36718024874699
0401760,4165,93.97166866746699
0401870,39150,91.76326947637293
0401940,2849,67.69076869076869
0402190,123,57.12195121951219
0402220,40,75
0402250,359,86.87465181058496
0402320,3298,73.29472407519708
0402480,12,75
0402530,4327,86.02334180725677
0402600,309,84.70873786407768
0402690,23183,90.47086226976664
0402740,401,20.311720698254362
0402860,9018,84.73830117542693
0402920,9580,83.76628392484342
0403010,5877,86.46299132210311
0403040,1601,89.81386633354154
0403080,197,71.51776649746193
0403200,429,80.7972027972028
0403290,1815,81.6716253443526
0403310,395,79.37215189873417
0403400,33179,90.80038578619006
0403450,38550,88.24695201037613
0403500,1681,86.58001189767995
0403550,206,80.8252427184466
0403730,279,86.0931899641577
0403780,9034,93.23079477529333
0403820,2436,87.4039408866995
0403860,2480,4.541935483870968
0403870,4768,87.95532718120805
0403950,753,65.24701195219124
0403990,3436,87.66443538998836
0404010,291,87.21649484536083
0404060,2615,83.24015296367112
0404280,5498,86.79483448526737
0404410,477,66.88679245283019
0404530,23,75
0404570,926,87.96004319654428
0404630,11847,84.9379589769562
0404720,5832,74.7409122085048
0404770,457,81.55142231947484
0404820,704,73.15767045454545
0404860,48,75
0404970,57605,76.47744119434077
0405030,880,81.84204545454546
0405070,3967,79.67910259642046
0405320,999,91.22422422422422
0405340,60,75
0405360,1007,6.043694141012909
0405430,210,82.58095238095238
0405460,583,81.55917667238421
0405500,49,24
0405530,5170,90.05338491295939
0405640,296,83.5945945945946
0405820,2463,75.83150629313845
0405880,591,87.6751269035533
0405930,30094,87.18571808333887
0405980,1821,82.19439868204283
0406030,167,82.20359281437125
0406070,2326,71.02020636285468
0406120,55,41.61818181818182
0406250,35617,93.48917651683185
0406330,88532,80.86402656666516
0406440,800,70.93875
0406510,60,75
0406580,2251,80.71346068414039
0406630,37,75
0406730,4350,80.33448275862068
0406740,731,73.62517099863202
0406810,5535,92.80831074977417
0406850,438,84.75114155251141
0406870,801,73.9812734082397
0406960,1235,74.63724696356276
0407130,1212,80.9612211221122
0407170,1160,92.07672413793104
0407240,3116,82.25288831835687
0407300,5540,86.84458483754513
0407430,99,75
0407500,138,90
0407520,4238,92.05120339782917
0407530,1270,77.13149606299213
0407570,23638,87.43683898807006
0407630,77,70.36363636363636
0407700,2592,80.46875
0407750,27854,93.89707043871616
0407770,6,75
0407820,2107,93.13194114855244
0407860,169,81.5680473372781
0408020,369,89.48509485094851
0408080,733,79.91268758526603
0408170,14493,75.98185330849375
0408230,432,89.44907407407408
0408280,1300,92.59307692307692
0408340,33661,86.66406226790647
0408410,1252,93.07987220447284
0408430,12,75
0408520,35150,88.08708392603128
0408600,951,90.7676130389064
0408680,1797,71.47468002225932
0408800,39868,83.28569278619445
0408850,10532,90.760919103684
0408910,380,83.88947368421053
0409160,2238,61.70285969615728
0409190,1961,78.43447220805712
0409250,1104,81.77989130434783
0409310,638,82.89655172413794
0409430,1631,73.99632127529124
0409460,1832,85.7811135371179
0409540,16,75
0409630,29192,88.43004932858318
0409731,378,5.1005291005291005
0409733,1219,84.11812961443806
0500001,1368,85.72076023391813
0500006,1735,85.10893371757925
0500009,783,94.74840357598978
0500012,783,91.83014048531291
0500015,3805,86.99159001314061
0500016,782,92.94884910485933
0500017,2683,88.80842340663436
0500019,2802,88.08458244111348
0500020,483,90.15942028985508
0500021,446,89.41479820627802
0500023,1349,80.12898443291327
0500026,4675,70.20663101604278
0500028,1559,92.00577293136625
0500029,1318,92.9658573596358
0500030,452,89.80088495575221
0500032,595,89.21512605042017
0500035,61,75
0500036,194,77.22680412371133
0500041,518,89.79729729729729
0500042,1892,88.12420718816068
0500043,4002,83.97151424287856
0500044,2904,90.82644628099175
0500045,1430,79.9846153846154
0500046,1156,94.74221453287197
0500047,1615,77.58080495356037
0500048,800,84.26625
0500049,2668,88.52511244377811
0500051,947,88.44350580781415
0500055,640,89.3421875
0500059,360,85.24166666666667
0500062,964,83.16908713692946
0500065,716,85.65502793296089
0500067,723,92.9792531120332
0500068,956,86.39435146443515
0500070,998,88.96192384769539
0500071,423,89.06855791962174
0500072,461,91.19305856832972
0500073,755,89.50728476821192
0500074,1128,89.7482269503546
0500076,675,93.00740740740741
0500078,585,95.35555555555555
0500079,1105,79.3710407239819
0500082,923,88.89057421451788
0500390,994,21.488933601609656
0500394,1114,69.40215439856374
0500397,44,18.59090909090909
0500398,1512,94.88227513227513
0500402,674,90.1973293768546
0500405,1234,87.9513776337115
0500407,941,24.43039319872476
0500408,426,43.75821596244131
0500409,47,75
0500412,54,72.44444444444444
0500416,166,80.63253012048193
0500418,240,89.76666666666667
0500419,2384,82.0625
0500420,28,83.57142857142856
0500422,36,75
0502250,3405,91.39794419970632
0502280,474,89.63924050632912
0502430,1773,81.18048505358149
0502550,431,88.34338747099767
0502580,1430,87.11258741258742
0502610,968,86.17355371900827
0502670,422,82.5995260663507
0502700,1438,90.6759388038943
0502730,991,84.39556004036326
0502790,1656,92.30736714975845
0502820,532,85.49624060150376
0502880,3180,81.88553459119497
0502960,4591,92.91766499673274
0503030,1920,90.43802083333334
0503060,13526,90.1142244566021
0503090,1159,86.68507333908542
0503150,2249,81.95642507781237
0503240,969,92.33333333333333
0503300,585,83.86837606837607
0503320,2805,81.98538324420677
0503420,415,89.56626506024097
0503450,1707,92.90216754540128
0503480,460,92.25
0503630,728,86.67857142857143
0503640,1706,93.15767878077374
0503690,8371,90.35169035957472
0503710,775,87.35483870967741
0503750,9387,86.92606796633642
0503770,514,86.48443579766537
0503840,395,91.18987341772151
0503960,721,83.18862690707351
0504020,1722,84.84610917537746
0504050,1306,94.11791730474732
0504080,1093,93.59652333028362
0504110,1047,93.74976122254058
0504170,685,92.56934306569343
0504200,956,94.1234309623431
0504350,665,88.90075187969926
0504370,592,85.49324324324324
0504380,2756,91.34905660377359
0504410,1393,89.9791816223977
0504560,398,92.42462311557789
0504590,9156,85.8506989951944
0504680,664,90.5316265060241
0504740,470,92.25531914893617
0504800,1750,85.01371428571429
0504860,677,84.40472673559822
0504890,901,92.87458379578246
0504930,1974,86.58105369807497
0504980,584,79.46061643835617
0505170,433,88.28637413394918
0505190,623,85.84430176565007
0505340,549,92.2367941712204
0505410,1568,73.6141581632653
0505430,1512,89.7387566137566
0505470,1137,82.49956024626209
0505500,1593,87.96170747018205
0505550,864,85.67708333333333
0505580,608,87.74342105263158
0505680,4556,85.53841088674275
0505760,1177,94.15038232795243
0505850,893,82.15565509518477
0505970,593,82.75885328836425
0506060,2486,87.12912308930008
0506090,2126,94.65616180620884
0506120,9477,85.52147303999156
0506150,760,88.41447368421052
0506210,909,90.50825082508251
0506240,554,90.8086642599278
0506270,3256,80.36977886977887
0506330,16630,85.20336740829825
0506360,973,95.98047276464543
0506420,1415,86.04734982332155
0506540,1529,85.8436886854153
0506630,1115,92.40627802690584
0506690,1064,90.50563909774436
0506840,1860,84.63763440860215
0506870,1598,84.53879849812266
0506900,3146,95.22409408773045
0506930,960,88.31666666666666
0506990,3500,93.17
0507110,812,80.5307881773399
0507140,435,86.72183908045977
0507170,943,92.30116648992578
0507230,610,90.01475409836065
0507290,930,93.49247311827958
0507320,1167,87.4515852613539
0507350,1510,79.02450331125829
0507380,2647,87.86173026067246
0507410,87,89.57471264367815
0507530,696,86.9367816091954
0507560,1702,85.49412455934196
0507620,775,90.31612903225806
0507680,2021,82.75160811479466
0507710,460,84.05
0507740,660,86.58030303030303
0507770,1627,93.27473878303627
0507840,2811,76.95410885805762
0507860,865,92.20462427745665
0507890,3724,70.67454350161117
0507920,964,88.32053941908714
0507990,1083,93.2511542012927
0508010,101,73.69306930693068
0508040,6243,85.29841422393079
0508130,2513,84.3975328292877
0508240,957,89.28213166144201
0508280,6055,86.910156895128
0508340,803,91.00373599003736
0508400,1605,81.67227414330218
0508490,490,84.95510204081633
0508610,4724,83.68734123624047
0508640,1087,92.05243790248389
0508670,3064,87.54406005221932
0508700,1219,86.96472518457752
0508730,701,91.68473609129815
0508940,1523,86.93696651346028
0509000,24460,77.96451349141455
0509060,2123,85.374470089496
0509150,634,84.65930599369085
0509190,612,93.79084967320262
0509240,1945,88.11670951156813
0509270,458,92.87117903930131
0509330,921,86.01737242128122
0509360,997,78.73620862587762
0509390,4423,85.57381867510739
0509420,657,89.82496194824961
0509480,830,95.62409638554217
0509510,526,84.98859315589354
0509540,1283,88.02026500389712
0509570,514,92.47081712062257
0509600,592,86.33614864864865
0509630,1265,83.16679841897233
0509720,728,93.29395604395604
0509750,1645,91.03221884498481
0509780,418,88.55263157894737
0509840,2083,90.68458953432548
0509990,518,89.1911196911197
0510080,411,90.83698296836982
0510170,558,73.45878136200716
0510200,1478,95.05006765899866
0510260,812,81.20566502463055
0510290,382,88.58638743455496
0510320,690,87.57971014492753
0510380,1897,94.35898787559304
0510410,433,91.4203233256351
0510440,3360,91.46488095238095
0510560,500,88.816
0510680,9650,75.96507772020726
0510920,437,87.75972540045767
0510950,1433,84.29030006978367
0510980,398,89.86934673366835
0511010,1552,92.11920103092784
0511070,664,89.62801204819277
0511130,1515,90.85412541254125
0511220,623,91.87640449438203
0511340,1055,88.22748815165878
0511370,889,90.54555680539933
0511610,1816,88.79845814977973
0511700,1506,91.9402390438247
0511730,745,93.41610738255034
0511760,1834,88.97491821155944
0511820,1083,86.9067405355494
0511850,14594,78.07249554611485
0511880,692,89.71531791907513
0511970,17233,87.06226426043057
0512000,882,87.95238095238096
0512060,5506,87.51144206320379
0512090,795,95.16603773584905
0512180,391,90.63938618925832
0512210,3695,85.12828146143437
0512420,485,86.16082474226805
0512450,4563,89.4212141135218
0512480,874,88.441647597254
0512510,1212,87.97854785478548
0512520,2587,84.75028991109394
0512540,1490,91.26510067114093
0512570,646,92.30340557275542
0512630,567,87.84656084656083
0512660,24299,83.98440265031483
0512930,379,88.74406332453826
0512960,1746,83.73024054982818
0513080,3254,94.76060233558697
0513110,4492,78.09238646482636
0513230,725,92.91310344827586
0513350,876,93.80365296803653
0513380,2208,94.56159420289855
0513410,6409,86.35980652207833
0513530,3071,95.41224356887008
0513560,382,91.17801047120419
0513680,1562,85.8706786171575
0513930,3145,87.81399046104929
0514010,1039,88.52839268527431
0514020,736,87.4211956521739
0514040,505,91.99009900990099
0514140,2912,88.2081043956044
0514370,354,88.58757062146893
0514400,553,93.09222423146473
0514430,2747,90.17946851110301
0514490,924,93.99458874458875
0600001,1276,92.38793103448276
0600002,87,24
0600003,717,51.62900976290098
0600007,564,54.460992907801426
0600009,270,73.75555555555555
0600011,289,80.5674740484429
0600013,11749,94.02757681504809
0600014,28496,90.33632790567097
0600015,1540,41.25194805194805
0600016,13279,91.68853076285865
0600017,13886,86.438355177877
0600018,269,85.98513011152417
0600019,6511,93.98970972200891
0600020,13681,95.44156128937944
0600022,4056,75.51947731755425
0600025,6933,95.59512476561373
0600026,985,87.55736040609136
0600027,24070,87.18662235147487
0600028,29834,91.92092914124825
0600029,25914,94.49151038048932
0600032,8621,93.35691915091057
0600033,2998,92.48065376917944
0600034,6268,88.44623484365029
0600035,3290,87.91246200607902
0600036,12353,91.995142880272
0600037,444,90.70945945945945
0600038,640,69.9390625
0600039,3159,93.41468819246597
0600040,2116,93.68336483931947
0600042,151,75
0600043,2003,94.7174238642037
0600044,2147,86.62878435025617
0600045,2794,93.30171796707229
0600046,3311,92.8453639383872
0600047,21748,88.6366102630127
0600048,8032,87.75485557768924
0600049,848,88.39858490566037
0600051,2422,84.38810900082576
0600052,4335,88.96470588235294
0600060,2408,93.57142857142857
0600061,3120,88.91185897435898
0600062,5626,88.46178457163171
0600063,2353,89.61495962600935
0600064,22504,88.12864379665837
0600065,8588,91.23998602701444
0600067,2288,92.77578671328672
0600068,2005,87.98503740648378
0600069,4393,89.9756430685181
0600116,862,73.92807424593968
0600153,30257,93.29094093928677
0600158,17029,92.40219625345
0600159,625,91.09759999999999
0600160,2491,86.60658370132477
0601331,1221,86.83783783783784
0601332,24718,83.09685249615664
0601339,1102,92.08439201451907
0601409,2379,82.89449348465742
0601410,2060,93.96699029126214
0601414,24678,86.7442256260637
0601415,4953,82.63597819503332
0601418,2773,86.93328525063109
0601421,6727,93.00609484168277
0601423,3840,86.64401041666666
0601426,406,76.97536945812809
0601427,47,55.468085106382986
0601428,24,75
0601442,766,71.25065274151436
0601620,23754,90.84966742443378
0601650,14906,96.02046155910371
0601770,10790,88.04365152919371
0601860,3811,91.55471004985569
0602010,368,69.32065217391305
0602430,25874,88.65409291180336
0602450,4138,88.0137747704205
0602630,82490,84.88519820584314
0602670,6220,88.11752411575563
0602700,6372,85.83882611424984
0602730,712,89.88342696629213
0602820,80007,79.45138550376842
0602850,21135,79.2937780932103
0602970,11034,97.2431575131412
0603030,5446,90.79673154608886
0603180,232,53.0603448275862
0603300,4755,92.00588853838066
0603600,11163,88.2363164024008
0603610,196,75
0603690,17573,92.05064587719798
0603840,5512,71.05605950653121
0604020,6181,80.48325513670927
0604110,4951,93.61765299939407
0604230,2983,85.66711364398257
0604290,10038,88.65042837218569
0604440,15521,90.1019264222666
0604620,5143,93.93039082247714
0604740,11160,84.82311827956988
0604830,5001,92.31673665266946
0604950,69,75
0605010,223,81.12107623318386
0605040,647,87.57805255023183
0605240,1306,87.6125574272588
0605610,10929,91.24924512764206
0605700,539,86.37476808905382
0605820,7377,93.576386064796
0605880,6272,94.57382015306123
0605940,2483,92.53242045912204
0606450,18254,90.60419634052809
0606570,460,76.07826086956521
0606580,279,78.54838709677419
0606780,3536,87.20277149321267
0606870,3677,91.11993472939896
0606900,15148,82.89015051491947
0606990,1421,90.38634764250529
0607020,969,92.0092879256966
0607230,24059,86.92576582567855
0607440,49594,95.4696132596685
0607500,10405,91.51725132148006
0607530,2447,94.80629342051492
0607560,2731,91.90259978030026
0607800,9602,93.64059570922724
0607900,5226,86.50918484500573
0607920,27273,83.40259597404027
0607970,15593,82.87449496568973
0608010,15697,87.7316684716825
0608130,16102,85.18593963482797
0608160,88859,87.97395874362753
0608190,6476,93.87569487337862
0608370,14369,87.31052961235994
0608460,35829,89.40461637221244
0608550,3654,87.69020251778872
0608760,8163,93.4834007105231
0608970,1579,80.59594680177328
0609030,39569,92.24021329828906
0609070,21209,81.05907869300769
0609120,5108,77.73766640563821
0609390,26384,85.2128183747726
0609570,1688,81.6042654028436
0609620,23079,77.1611854933056
0609640,22333,95.17265929342229
0609665,12,75
0609690,3094,81.04395604395604
0609810,3559,85.43186288283226
0609850,59311,92.19210601743353
0609870,3294,94.01791135397693
0609940,6184,84.59540750323416
0610050,17040,95.85510563380282
0610260,7159,93.82329934348373
0610350,5002,87.2638944422231
0610620,8110,92.16214549938347
0610770,3392,76.06987028301887
0610860,16989,94.2761787038672
0611040,1597,84.57921102066375
0611110,35038,88.24439180318511
0611280,4419,80.21995926680245
0611460,31982,94.61031205052842
0611520,4109,90.45558530055976
0611700,216,77.22222222222221
0611730,892,91.52466367713004
0611780,834,94.25659472422062
0611820,85982,82.17542043683562
0611870,328,82.86585365853658
0612070,19829,92.97730596600938
0612120,37591,83.09802878348542
0612180,11650,89.10540772532188
0612210,3744,95.40170940170941
0612330,68331,88.82665261740645
0612630,629,84.49920508744037
0612840,3047,91.94945848375451
0612910,28525,82.40175284837862
0612930,1196,92.75836120401338
0613360,22182,80.93557839689839
0613470,1275,83.34117647058824
0613530,9243,77.21529806339933
0613800,4380,89.04497716894977
0613840,2890,94.39896193771627
0613890,19090,88.65484546883185
0613920,51016,88.40885212482358
0614070,2047,81.33268197361993
0614190,3764,86.58900106269925
0614250,2962,95.32072923700203
