dist,children,predom_race,grad_rate_midpt,pct_pov,pct_SP,pct_HHVJ,pct_CC,pct_NCI,pct_CD,pct_CLI,pct_hisp_latino,pct_white,pct_black,pct_native,pct_asian
Cullman County School District,11151,White,89.25814732142857,19.047,27.701,27.626,1.668,15.892,3.91,1.48,8.7,85.9,1.3,1.5,0.2
Dale County School District,2604,White,92.96099161502003,23.876,34.937,32.55,1.082,18.564,10.484,0.269,1.4,72.1,20.6,0.8,0
Daleville City School District,1839,White,84.99537892791128,24.142,38.977,33.002,3.689,16.525,10.604,5.71,23,51.1,12.3,3.8,2.2
Dallas County School District,3825,Black,89.90307076101467,37.045,60.557,20.247,2.611,19.886,4.549,0,1.2,27.8,70.5,0,0
DeKalb County School District,10627,White,89.28299555116163,28.365,33.179,24.963,2.215,24.236,3.548,5.072,24.2,69.6,1.6,0.8,0
Decatur City School District,9126,White,86.5123552123552,22.592,43.437,26.951,3.406,27.201,7.55,6.958,24.3,41.8,29.9,0,0
Demopolis City School District,1201,Black,90.85805500982318,32.897,66.273,29.29,1.062,28.952,0,0,1.5,28.4,70.1,0,0
Dothan City School District,11517,Black,86.98311262301057,22.634,46.465,34.398,0.892,19.097,4.845,0.243,4.8,40.7,50.2,0.2,1
Elba City School District,665,Black,92.08294930875576,24.118,46.787,30.061,2.009,21.721,18.496,4.962,0,42,46.2,0,5.9
Elmore County School District,11991,White,86.84854051847317,15.44,31.522,27.365,1.25,7.263,5.304,0.617,4.6,64.3,26.3,0,0.7
Enterprise City School District,5100,White,92.26496279521191,18.67,44.73,26.429,1.021,12.769,6.824,1.176,9.4,58.7,27.1,0,0.5
Escambia County School District,5400,White,84.1773692387364,30.271,38.734,27.071,2.272,34.373,4.741,0.222,5.7,51,36.4,5.4,0
Etowah County School District,9994,White,91.62132839375496,18.341,26.614,28.774,0.813,13.802,5.413,0.21,3.7,87.7,5,0.7,1.1
Eufaula City School District,2348,Black,82.02556276230447,34.511,65.817,25.878,0.855,15.864,8.859,0.639,5.9,28.1,64.6,0,0
Fairfield City School District,1489,Black,86.01662468513854,29.075,81.126,30.115,3.663,20.97,7.925,0,3.2,0,95.4,1.1,0
Fayette County School District,2425,White,89.58563036601898,37.596,31.785,24.495,1.235,13.899,9.938,0,3.1,82.1,9.8,0,0
Florence City School District,5312,White,92.6229843869977,20.883,46.909,38.384,1.133,23.468,5.648,2.956,9.6,56.4,27.1,0,0.2
Fort Payne City School District,2597,White,95.93335843373494,32.304,38.003,26.278,5.417,20.416,6.893,0,39.6,49.5,2.7,0,0
Franklin County School District,3637,White,88.51390922401171,25.967,27.034,24.991,1.475,23.364,4.674,0.522,6,89.5,3.5,0,0.1
