school_ID,state,dist,abbr_state,state_code,LEAID,year,children,grad_rate_midpt,pct_pov,pct_SP,pct_HHVJ,pct_CC,pct_NCI,pct_CD,pct_CLI,pct_hisp_latino,pct_white,pct_black,pct_native,pct_asian,pct_PI,student_total,rev_total_avg,rev_per_cap
00005,Alabama,Albertville City School District,AL,01,0100005,2014-2018,4591,90.62127426852612,0.30053842067718506,0.3529261350631714,0.3265352249145508,0.04766444116830826,0.2214713543653488,0.01807885058224201,0.17360052466392517,44.6,49.4,3.5,0,0.8,0,3657,51204000,11153.12568067959
00006,Alabama,Marshall County School District,AL,01,0100006,2014-2018,8299,88.8638041577618,0.266221821308136,0.2951967418193817,0.23486670851707456,0.0263831689953804,0.14248564839363098,0.04349921643733978,0.03867935761809349,24.3,70,1.7,0.2,0.8,0,5147,56877250,6853.506446559826
00007,Alabama,Hoover City School District,AL,01,0100007,2014-2018,15397,92.01012965964344,0.07259552925825119,0.20831553637981415,0.29216548800468445,0.01548487227410078,0.03168848156929016,0.0387737862765789,0.04416444897651672,12.9,56.7,23.1,0,4.8,0,12340,176466250,11461.08008053517
00008,Alabama,Madison City School District,AL,01,0100008,2014-2018,9416,95.81858682138416,0.08298157155513763,0.17839834094047546,0.209306076169014,0.01608305051922798,0.10363836586475372,0.05777399986982345,0.00424808822572231,7.8,64.1,15,0.1,5.5,0,9652,109889250,11670.481096006797
00011,Alabama,Leeds City School District,AL,01,0100011,2014-2018,2324,90.77310924369748,0.16887608170509338,0.27438369393348694,0.3043552339076996,0.02989755384624004,0.2376333624124527,0.08003441989421844,0,9.1,65.5,24.6,0.8,0,0,1428,22388250,9633.498278829604
00012,Alabama,Boaz City School District,AL,01,0100012,2014-2018,1644,86.42917771883289,0.24957069754600525,0.4009729027748108,0.30367767810821533,0.01263689994812011,0.1144850254058838,0.06447688490152359,0.06751824915409088,10.8,86.9,0,0,0,0,1885,23457250,14268.400243309003
00013,Alabama,Trussville City School District,AL,01,0100013,2014-2018,4476,95.79286289240676,0.06697698682546616,0.22902320325374603,0.25656864047050476,0.00676907040178775,0.03920276835560798,0.02524575591087341,0,1.8,82.6,6.7,0,2.6,0,3727,50582750,11300.882484361036
00030,Alabama,Alexander City City School District,AL,01,0100030,2014-2018,3064,87.07295988934993,0.373364120721817,0.5040618777275085,0.23417529463768005,0.04221784323453903,0.17756539583206177,0.05221932008862495,0.02872062660753727,11.8,43.2,41.7,0,2.4,0,2892,32268000,10531.331592689296
00060,Alabama,Andalusia City School District,AL,01,0100060,2014-2018,1425,94.3826714801444,0.3119392693042755,0.5790795087814331,0.2713839113712311,0.02049062028527259,0.09485771507024764,0.15157894790172577,0,1.7,63.3,33,0,1,0,1385,19213250,13482.982456140351
00090,Alabama,Anniston City School District,AL,01,0100090,2014-2018,3008,78.61667703795892,0.3806451559066773,0.53800368309021,0.257531076669693,0.01209850143641233,0.2699359357357025,0.09474734216928482,0,1,13,77.7,0,0.2,0,1607,23993250,7976.479388297872
00100,Alabama,Arab City School District,AL,01,0100100,2014-2018,1454,93.22529465095197,0.17518247663974762,0.32910388708114624,0.28344330191612244,0.00595984933897852,0.0913865566253662,0.05639614909887314,0.01306740008294582,3.4,94.2,0.3,0.3,0.7,0,2206,24401250,16782.152682255844
00120,Alabama,Athens City School District,AL,01,0100120,2014-2018,3824,88.4522396114409,0.17829261720180511,0.33690476417541504,0.3321545124053955,0.01604858040809631,0.14985251426696777,0.0928347259759903,0.04785564914345741,17.5,63,12,0,2.8,0,3706,57828750,15122.581066945606
00180,Alabama,Attalla City School District,AL,01,0100180,2014-2018,1144,83.74577702702702,0.26067906618118286,0.4591633379459381,0.3102564215660095,0.0371672511100769,0.12264808267354964,0.1660839170217514,0,1.7,80.4,9.2,0,0,0,2368,15819250,13828.015734265735
00185,Alabama,Saraland City School District,AL,01,0100185,2014-2018,2728,92.04951185495118,0.201797753572464,0.32961782813072205,0.2550281584262848,0.02151198498904705,0.07885906100273132,0.03958944231271744,0,1.8,78.9,15.3,0,0.4,0,2868,33825000,12399.193548387097
00188,Alabama,Chickasaw City School District,AL,01,0100188,2014-2018,1350,80.21448087431695,0.41289022564888,0.6365232467651367,0.3382144570350647,0.03904343396425247,0.299539178609848,0.03925925865769386,0,2.4,20.9,69.7,0.8,0,0,732,9714250,7195.740740740741
00189,Alabama,Satsuma City School District,AL,01,0100189,2014-2018,922,93.06746031746032,0.2162426561117172,0.22084367275238037,0.19352290034294128,0,0.12757830321788788,0.04663774371147156,0,0,89.6,8.1,0,0,0,1260,13713250,14873.373101952278
00190,Alabama,Alabaster City School District,AL,01,0100190,2014-2018,6469,95.80277617119722,0.11596363037824632,0.21697638928890228,0.3060419261455536,0.01772512681782245,0.05473269894719124,0.05982377380132675,0.03478126600384712,16.4,59.8,14.5,0.5,0.8,0,5187,69658500,10768.047611686505
00194,Alabama,Pelham City School District,AL,01,0100194,2014-2018,4044,92.88941091434766,0.08137563616037369,0.2700054347515106,0.30181071162223816,0.01266400422900915,0.10544979572296144,0.04005934670567512,0.05019782483577728,19,66,8.7,0.4,5,0,2767,39139250,9678.350642927795
00195,Alabama,Pike Road City School District,AL,01,0100195,2014-2018,1813,NA,0.06903164088726044,0.18050314486026764,0.19800953567028048,9.313877671957016e-4,0.03603976964950561,0.04081632569432258,0.0154440151527524,0,48.9,43,0,6.3,0,NA,9346500,5155.26751241037
