leaid,state,region,dist,children,pct_pov,pct_SP,SP_MOE,pct_HHVJ,HHVJ_MOE,pct_CC,CC_MOE,pct_NCI,nci_MOE,pct_CD,CD_MOE,pct_CLI,CLI_MOE
0100001,Alabama,South,Fort Rucker School District,985,12.442396581172943,4.897494241595268,5,32.75590538978577,13,2.8089888393878937,4,2.0489471033215523,2.5,3.2487310469150543,3,0,1.5
0100003,Alabama,South,Maxwell AFB School District,292,15.226337313652039,10.18867939710617,7,30.651339888572693,26.5,0.9966777637600899,5,1.4527845196425915,3,5.479452013969421,3.5,0,4
0100005,Alabama,South,Albertville City School District,4591,30.053842067718506,35.29261350631714,9,32.65352249145508,4.5,4.766444116830826,2,22.14713543653488,9.5,1.8078850582242012,1.5,17.360052466392517,7
0100006,Alabama,South,Marshall County School District,8299,26.6221821308136,29.51967418193817,5.5,23.48667085170746,2.5,2.63831689953804,0.5,14.248564839363098,3.5,4.349921643733978,1.5,3.867935761809349,3
0100007,Alabama,South,Hoover City School District,15397,7.259552925825119,20.831553637981415,4,29.216548800468445,2,1.548487227410078,0.5,3.168848156929016,2,3.8773786276578903,1.5,4.416444897651672,3.5
0100008,Alabama,South,Madison City School District,9416,8.298157155513763,17.839834094047546,5.5,20.930607616901398,2,1.6083050519227982,1,10.363836586475372,4.5,5.777399986982346,2,0.4248088225722313,0.5
0100011,Alabama,South,Leeds City School District,2324,16.88760817050934,27.438369393348694,13.5,30.43552339076996,5.5,2.9897553846240044,2,23.76333624124527,11,8.003441989421844,5,0,1
0100012,Alabama,South,Boaz City School District,1644,24.957069754600525,40.09729027748108,20,30.367767810821533,5.5,1.2636899948120117,1.5,11.448502540588379,8.5,6.447688490152359,4.5,6.751824915409088,5.5
0100013,Alabama,South,Trussville City School District,4476,6.697698682546616,22.902320325374603,8,25.656864047050476,3.5,0.6769070401787758,1,3.9202768355607986,3,2.5245755910873413,1.5,0,0.5
0100030,Alabama,South,Alexander City City School District,3064,37.3364120721817,50.406187772750854,11.5,23.417529463768005,4.5,4.221784323453903,2,17.756539583206177,8,5.221932008862495,2.5,2.872062660753727,3
0100060,Alabama,South,Andalusia City School District,1425,31.19392693042755,57.90795087814331,8,27.138391137123108,6,2.04906202852726,2,9.485771507024765,5.5,15.157894790172577,7.5,0,1
0100090,Alabama,South,Anniston City School District,3008,38.064515590667725,53.800368309020996,7.5,25.7531076669693,4,1.2098501436412334,1,26.99359357357025,7,9.474734216928482,3.5,0,0.5
0100100,Alabama,South,Arab City School District,1454,17.518247663974762,32.910388708114624,4,28.344330191612244,2.5,0.5959849338978529,0.5,9.138655662536621,3,5.639614909887314,1.5,1.3067400082945824,1.5
0100120,Alabama,South,Athens City School District,3824,17.82926172018051,33.690476417541504,8.5,33.21545124053955,4,1.6048580408096313,0.5,14.985251426696777,6,9.28347259759903,5.5,4.785564914345741,3.5
0100180,Alabama,South,Attalla City School District,1144,26.067906618118286,45.91633379459381,24,31.025642156600952,10,3.7167251110076904,4,12.264808267354965,10,16.60839170217514,10.5,0,1.5
0100185,Alabama,South,Saraland City School District,2728,20.1797753572464,32.961782813072205,10,25.50281584262848,4.5,2.151198498904705,1.5,7.885906100273132,4.5,3.9589442312717438,3,0,0.5
0100188,Alabama,South,Chickasaw City School District,1350,41.289022564888,63.65232467651367,10.5,33.82144570350647,5.5,3.904343396425247,2,29.953917860984802,11,3.9259258657693863,2.5,0,1.5
0100189,Alabama,South,Satsuma City School District,922,21.624265611171722,22.084367275238037,13,19.35229003429413,6.5,0,1,12.757830321788788,11,4.663774371147156,4.5,0,2
0100190,Alabama,South,Alabaster City School District,6469,11.59636303782463,21.69763892889023,6,30.60419261455536,3,1.7725126817822456,1,5.473269894719124,3.5,5.982377380132675,3,3.478126600384712,2.5
0100194,Alabama,South,Pelham City School District,4044,8.137563616037369,27.000543475151062,8,30.181071162223816,3.5,1.2664004229009151,1,10.544979572296143,5.5,4.0059346705675125,2,5.019782483577728,5
0100195,Alabama,South,Pike Road City School District,1813,6.903164088726044,18.050314486026764,10.5,19.800953567028046,4,0.09313877671957016,0.5,3.6039769649505615,3.5,4.081632569432259,3.5,1.54440151527524,2
0100210,Alabama,South,Auburn City School District,8277,11.712439358234406,28.41731607913971,6.5,28.59281301498413,2.5,3.1509846448898315,1,6.876740604639053,3,4.67560701072216,2,4.216503724455833,2.5
0100240,Alabama,South,Autauga County School District,10106,19.29788738489151,26.168954372406006,5,26.019731163978577,2,1.4160549268126488,0.5,8.542149513959885,2.5,11.923609673976898,3,0.03958044690079987,0.5
0100270,Alabama,South,Baldwin County School District,33982,12.897169589996338,26.78494155406952,3,31.789803504943848,1.5,1.2604614719748497,0.5,9.761074185371399,2,4.53769639134407,1.5,0.9534459561109543,1
0100300,Alabama,South,Barbour County School District,1698,38.24057579040527,45.5089807510376,9.5,21.099066734313965,4,6.339181214570999,3.5,52.16306447982788,15,14.605417847633362,6.5,4.770318046212196,5
0100330,Alabama,South,Bessemer City School District,4276,31.248682737350464,69.50294971466064,7.5,34.59349572658539,4,1.8119068816304207,1,19.58625316619873,6.5,12.581852078437805,4.5,1.1693171225488186,1.5
0100360,Alabama,South,Bibb County School District,3346,25.439128279685974,32.525113224983215,10,22.743548452854156,4.5,0.7602339144796133,1,17.182427644729614,8.5,5.349671095609665,3.5,0,0.5
0100390,Alabama,South,Birmingham City School District,29129,35.04951000213623,68.1425392627716,3,30.610257387161255,1.5,1.4330217614769936,0.5,22.469210624694824,2.5,8.373098820447922,1.5,2.228020131587982,1
